iter	Passed	Remaining
986	9367	123
987	9377	113
988	9389	104
989	9400	94
990	9411	85
991	9425	76
992	9435	66
993	9447	57
994	9458	47
995	9468	38
996	9479	28
997	9493	19
998	9504	9
999	9518	0
